Date : 2025-12-06 16:25:53
Directory : d:\VSCode\Flutter\watering_app\lib
Total : 116 files,  16240 codes, 613 comments, 1383 blanks, all 18236 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features\home\presentation\screens                                                                          |          5 |      1,203 |         21 |         70 |      1,294 |
| features\home\presentation\widgets                                                                          |          7 |      1,094 |         52 |         94 |      1,240 |
| features\home\providers                                                                                     |          2 |        103 |          3 |         24 |        130 |
| theme                                                                                                       |          2 |        107 |          1 |          7 |        115 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\VSCode\Flutter\watering_app\lib\core\app.dart                                                            | Dart     |         25 |          3 |          3 |         31 |
| d:\VSCode\Flutter\watering_app\lib\core\app_lifecycle_observer.dart                                         | Dart     |         54 |         10 |          9 |         73 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\api_path.dart                                             | Dart     |         64 |          4 |         11 |         79 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\api_strings.dart                                          | Dart     |         24 |          0 |          8 |         32 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_assets.dart                                           | Dart     |         18 |          0 |          4 |         22 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_colors.dart                                           | Dart     |         49 |          0 |          2 |         51 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\app_strings.dart                                          | Dart     |         15 |          0 |          4 |         19 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\shared_preference_key.dart                                | Dart     |         10 |          0 |          0 |         10 |
| d:\VSCode\Flutter\watering_app\lib\core\constants\stomp_path.dart                                           | Dart     |         15 |          0 |          7 |         22 |
| d:\VSCode\Flutter\watering_app\lib\core\data\models\history_watering_model.dart                             | Dart     |         30 |          0 |          6 |         36 |
| d:\VSCode\Flutter\watering_app\lib\core\data\models\schedule_model.dart                                     | Dart     |         93 |          1 |          8 |        102 |
| d:\VSCode\Flutter\watering_app\lib\core\main_scaffold.dart                                                  | Dart     |        120 |          2 |          8 |        130 |
| d:\VSCode\Flutter\watering_app\lib\core\navigations\transitions.dart                                        | Dart     |         49 |          0 |          4 |         53 |
| d:\VSCode\Flutter\watering_app\lib\core\network\auth_dio_network_service.dart                               | Dart     |         75 |          1 |          6 |         82 |
| d:\VSCode\Flutter\watering_app\lib\core\network\dio_network_service.dart                                    | Dart     |        135 |          3 |          9 |        147 |
| d:\VSCode\Flutter\watering_app\lib\core\network\interceptors\auth_interceptor.dart                          | Dart     |        110 |         13 |         13 |        136 |
| d:\VSCode\Flutter\watering_app\lib\core\network\network_service_provider.dart                               | Dart     |         50 |          7 |         11 |         68 |
| d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service.dart                                          | Dart     |        265 |         38 |         63 |        366 |
| d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service_provider.dart                                 | Dart     |          5 |          0 |          1 |          6 |
| d:\VSCode\Flutter\watering_app\lib\core\utils\debug_print.dart                                              | Dart     |          6 |          0 |          2 |          8 |
| d:\VSCode\Flutter\watering_app\lib\core\utils\notification_service.dart                                     | Dart     |         42 |          1 |         10 |         53 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\bottom_nav_bar.dart                                         | Dart     |         90 |         10 |          4 |        104 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_app_bar.dart                                         | Dart     |         89 |          1 |          5 |         95 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_circular_progress.dart                               | Dart     |         25 |          0 |          4 |         29 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_fab.dart                                             | Dart     |         96 |          0 |          4 |        100 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_snack_bar.dart                                       | Dart     |         76 |          0 |          2 |         78 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\edit_schedule_sheet.dart                                    | Dart     |        491 |          7 |         30 |        528 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\history_watering_data_table.dart                            | Dart     |         65 |          0 |          9 |         74 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\icons\back_icon.dart                                        | Dart     |         17 |          0 |          4 |         21 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\schedule_list_item.dart                                     | Dart     |        200 |         10 |         16 |        226 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\search_bar.dart                                             | Dart     |        138 |          9 |         14 |        161 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\sort_button.dart                                            | Dart     |        164 |          7 |          9 |        180 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\normal_text_form_field.dart                 | Dart     |        104 |          0 |          4 |        108 |
| d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\password_text_form_field.dart               | Dart     |         76 |          0 |          7 |         83 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\models\user_model.dart                      | Dart     |         49 |          0 |          6 |         55 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_local.dart                      | Dart     |         73 |          6 |         17 |         96 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_remote.dart                     | Dart     |        207 |          4 |         11 |        222 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository.dart           | Dart     |         27 |          0 |          2 |         29 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_impl.dart      | Dart     |        180 |          8 |         21 |        209 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository_provider.dart  | Dart     |         14 |          0 |          2 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\account_screen.dart         | Dart     |        368 |         57 |         16 |        441 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\app_info_screen.dart        | Dart     |        486 |         14 |         24 |        524 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\change_password_screen.dart | Dart     |        424 |         10 |         33 |        467 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\forgot_password_screen.dart | Dart     |        335 |          5 |         34 |        374 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\login_screen.dart           | Dart     |        386 |         16 |         20 |        422 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\new_password_screen.dart    | Dart     |        231 |          4 |         21 |        256 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\signup_screen.dart          | Dart     |        176 |          0 |         11 |        187 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\presentation\screens\verify_email_screen.dart    | Dart     |        442 |         11 |         31 |        484 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_provider.dart                     | Dart     |        183 |         20 |         25 |        228 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\auth_state.dart                        | Dart     |         91 |          0 |         12 |        103 |
| d:\VSCode\Flutter\watering_app\lib\features\authentication\providers\biometric_provider.dart                | Dart     |         84 |          7 |         14 |        105 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\enums\devices_enums.dart                           | Dart     |          4 |          2 |          4 |         10 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\device_model.dart                           | Dart     |         67 |          0 |          6 |         73 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\models\history_sensor_model.dart                   | Dart     |         29 |          0 |          5 |         34 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\data\source\device_remote.dart                          | Dart     |        398 |          0 |         19 |        417 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository.dart                | Dart     |         45 |          0 |          2 |         47 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_impl.dart           | Dart     |        225 |          0 |         15 |        240 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\domain\repository\device_repository_provider.dart       | Dart     |         12 |          0 |          2 |         14 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\all_devices_screen.dart            | Dart     |        400 |          9 |         29 |        438 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\analytics_tab_screen.dart          | Dart     |        468 |         54 |         17 |        539 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\control_tab_screen.dart            | Dart     |        357 |         22 |         30 |        409 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\device_detail_screen.dart          | Dart     |        138 |          4 |          8 |        150 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\schedule_tab_screen.dart           | Dart     |        247 |          0 |         15 |        262 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\add_new_device.dart                | Dart     |        146 |          1 |         11 |        158 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\device_grid_item.dart              | Dart     |        353 |          8 |         13 |        374 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\widgets\edit_device_dialog.dart            | Dart     |          0 |          0 |          1 |          1 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_provider.dart             | Dart     |         54 |          0 |          7 |         61 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\devices_state.dart                | Dart     |         32 |          1 |          8 |         41 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\all_devices\realtime_devices_provider.dart    | Dart     |        162 |          5 |         25 |        192 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_provider.dart                   | Dart     |        116 |          7 |         18 |        141 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\device_state.dart                      | Dart     |         40 |          0 |          8 |         48 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\get_history_provider.dart              | Dart     |         78 |          3 |         11 |         92 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\realtime_device_provider.dart          | Dart     |          0 |         43 |          7 |         50 |
| d:\VSCode\Flutter\watering_app\lib\features\devices\providers\device\schedule_provider.dart                 | Dart     |        162 |          9 |         21 |        192 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\data\models\group_model.dart                             | Dart     |         83 |          0 |          8 |         91 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\data\source\group_remote.dart                            | Dart     |        437 |          0 |         19 |        456 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository.dart                  | Dart     |         43 |          0 |          2 |         45 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository_impl.dart             | Dart     |        241 |          0 |         16 |        257 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\domain\repository\group_repository_provider.dart         | Dart     |         12 |          0 |          4 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\all_groups_screen.dart              | Dart     |        287 |          3 |         25 |        315 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_control_tab_screen.dart       | Dart     |        344 |         17 |         26 |        387 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_detail_screen.dart            | Dart     |        151 |          1 |         12 |        164 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_devices_tab_screen.dart       | Dart     |        224 |          3 |         12 |        239 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_schedule_tab_screen.dart      | Dart     |        256 |          0 |         15 |        271 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\widgets\add_or_edit_group.dart              | Dart     |        396 |         14 |         43 |        453 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\widgets\group_grid_item.dart                | Dart     |        232 |          3 |          7 |        242 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\groups_provider.dart                | Dart     |         86 |          7 |         11 |        104 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\groups_state.dart                   | Dart     |         32 |          1 |          9 |         42 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\realtime_groups_provider.dart       | Dart     |         57 |          1 |         10 |         68 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\get_history_provider.dart                | Dart     |         44 |          0 |          6 |         50 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\group_provider.dart                      | Dart     |        140 |          8 |         19 |        167 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\group_state.dart                         | Dart     |         33 |          0 |          6 |         39 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\schedule_provider.dart                   | Dart     |        169 |          9 |         21 |        199 |
| d:\VSCode\Flutter\watering_app\lib\features\home\data\models\article_model.dart                             | Dart     |         44 |          0 |          5 |         49 |
| d:\VSCode\Flutter\watering_app\lib\features\home\data\source\home_remote.dart                               | Dart     |         85 |          0 |          6 |         91 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository.dart                                | Dart     |          8 |          0 |          1 |          9 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_impl.dart                           | Dart     |         45 |          0 |          6 |         51 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_provider.dart                       | Dart     |         13 |          0 |          3 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\articles_screen.dart                  | Dart     |        117 |          0 |         10 |        127 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\chat_bot_screen.dart                  | Dart     |        167 |          4 |          6 |        177 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen.dart                      | Dart     |        607 |         12 |         30 |        649 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\incoming_schedule_screen.dart         | Dart     |        246 |          3 |         17 |        266 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\webview_screen.dart                   | Dart     |         66 |          2 |          7 |         75 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\all_devices_popup.dart                | Dart     |        193 |          5 |         16 |        214 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\article_item_card.dart                | Dart     |         95 |          1 |          4 |        100 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\info_card.dart                        | Dart     |        157 |          0 |         11 |        168 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\plant_interaction_card.dart           | Dart     |        424 |         24 |         39 |        487 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\schedule_item_card.dart               | Dart     |        129 |         14 |          7 |        150 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_thumb_shape.dart               | Dart     |         47 |          3 |          9 |         59 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_track_shape.dart               | Dart     |         49 |          5 |          8 |         62 |
| d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_provider.dart                               | Dart     |         74 |          3 |         17 |         94 |
| d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_state.dart                                  | Dart     |         29 |          0 |          7 |         36 |
| d:\VSCode\Flutter\watering_app\lib\firebase_options.dart                                                    | Dart     |         68 |         12 |          7 |         87 |
| d:\VSCode\Flutter\watering_app\lib\main.dart                                                                | Dart     |         29 |          0 |          6 |         35 |
| d:\VSCode\Flutter\watering_app\lib\theme\styles.dart                                                        | Dart     |         28 |          0 |          4 |         32 |
| d:\VSCode\Flutter\watering_app\lib\theme\theme.dart                                                         | Dart     |         79 |          1 |          3 |         83 |
| Total                                                                                                       |          |     16,240 |        613 |      1,383 |     18,236 |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
