Date : 2025-12-01 13:33:46
Directory : d:\VSCode\Flutter\watering_app\lib
Total : 113 files,  15225 codes, 571 comments, 1314 blanks, all 17110 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_devices_tab_screen.dart       | Dart     |        223 |          3 |         12 |        238 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_schedule_tab_screen.dart      | Dart     |        254 |          0 |         15 |        269 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\widgets\add_or_edit_group.dart              | Dart     |        395 |         14 |         43 |        452 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\widgets\group_grid_item.dart                | Dart     |        232 |          3 |          7 |        242 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\groups_provider.dart                | Dart     |         86 |          7 |         11 |        104 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\groups_state.dart                   | Dart     |         32 |          1 |          9 |         42 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\all_groups\realtime_groups_provider.dart       | Dart     |         56 |          1 |         10 |         67 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\get_history_provider.dart                | Dart     |         44 |          0 |          6 |         50 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\group_provider.dart                      | Dart     |        140 |          8 |         19 |        167 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\group_state.dart                         | Dart     |         33 |          0 |          6 |         39 |
| d:\VSCode\Flutter\watering_app\lib\features\groups\providers\group\schedule_provider.dart                   | Dart     |        161 |          9 |         22 |        192 |
| d:\VSCode\Flutter\watering_app\lib\features\home\data\models\article_model.dart                             | Dart     |         44 |          0 |          5 |         49 |
| d:\VSCode\Flutter\watering_app\lib\features\home\data\source\home_remote.dart                               | Dart     |         84 |          0 |          6 |         90 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository.dart                                | Dart     |          8 |          0 |          1 |          9 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_impl.dart                           | Dart     |         45 |          0 |          6 |         51 |
| d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_provider.dart                       | Dart     |         13 |          0 |          3 |         16 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\articles_screen.dart                  | Dart     |        116 |          0 |         10 |        126 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\chat_bot_screen.dart                  | Dart     |        167 |          4 |          6 |        177 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen.dart                      | Dart     |        601 |         12 |         30 |        643 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\incoming_schedule_screen.dart         | Dart     |        246 |          3 |         17 |        266 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\webview_screen.dart                   | Dart     |         66 |          2 |          7 |         75 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\all_devices_popup.dart                | Dart     |        193 |          5 |         16 |        214 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\article_item_card.dart                | Dart     |         95 |          1 |          4 |        100 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\info_card.dart                        | Dart     |        157 |          0 |         11 |        168 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\plant_interaction_card.dart           | Dart     |        424 |         24 |         39 |        487 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\schedule_item_card.dart               | Dart     |        129 |         14 |          7 |        150 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_thumb_shape.dart               | Dart     |         47 |          3 |          9 |         59 |
| d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_track_shape.dart               | Dart     |         49 |          5 |          8 |         62 |
| d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_provider.dart                               | Dart     |         74 |          3 |         17 |         94 |
| d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_state.dart                                  | Dart     |         29 |          0 |          7 |         36 |
| d:\VSCode\Flutter\watering_app\lib\firebase_options.dart                                                    | Dart     |         68 |         12 |          7 |         87 |
| d:\VSCode\Flutter\watering_app\lib\main.dart                                                                | Dart     |         29 |          0 |          6 |         35 |
| d:\VSCode\Flutter\watering_app\lib\theme\styles.dart                                                        | Dart     |         28 |          0 |          4 |         32 |
| d:\VSCode\Flutter\watering_app\lib\theme\theme.dart                                                         | Dart     |         79 |          1 |          3 |         83 |
| Total                                                                                                       |          |     15,225 |        571 |      1,314 |     17,110 |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
